variant,quarter,session,train_time,train_dur,val_pnl,val_wr,val_trades,val_max_dd,avg_box_width,pass
dyn_sl_1.0,Q1 2022,NY,10:06,5,-37.9,27.8,97,-71.8,2.57,False
dyn_sl_1.0,Q2 2022,Asia,20:45,3,-66.2,0.0,19,-66.2,0.81,False
dyn_sl_1.0,Q2 2022,London,01:05,10,-79.8,13.3,120,-135.5,1.24,False
dyn_sl_1.0,Q2 2022,NY,10:34,10,-143.5,16.5,79,-140.6,3.28,False
dyn_sl_1.0,Q3 2022,London,01:00,3,-23.3,14.9,114,-74.2,0.7,False
dyn_sl_1.0,Q3 2022,NY,09:38,3,-7.9,29.1,79,-55.1,2.06,False
dyn_sl_1.0,Q4 2022,Asia,21:14,7,-30.2,0.0,9,-26.8,1.46,False
dyn_sl_1.0,Q4 2022,London,03:34,3,-240.5,6.5,107,-249.2,0.95,False
dyn_sl_1.0,Q4 2022,NY,08:44,10,32.7,32.9,85,-71.0,2.52,True
dyn_sl_1.0,Q1 2023,London,01:02,3,-147.0,10.6,113,-175.5,0.67,False
dyn_sl_1.0,Q1 2023,NY,08:17,7,-228.0,16.5,121,-242.7,2.0,False
dyn_sl_1.0,Q2 2023,Asia,22:13,3,-19.6,0.0,6,-19.6,0.7,False
dyn_sl_1.0,Q2 2023,London,04:50,3,-61.4,13.8,109,-121.1,0.85,False
dyn_sl_1.0,Q2 2023,NY,10:07,3,2.4,29.5,61,-32.5,2.47,True
dyn_sl_1.0,Q3 2023,Asia,21:55,7,-18.9,0.0,6,-18.9,0.91,False
dyn_sl_1.0,Q3 2023,London,04:44,3,-231.0,3.6,84,-239.1,0.53,False
dyn_sl_1.0,Q3 2023,NY,08:33,10,-34.8,27.7,65,-77.5,3.39,False
dyn_sl_1.0,Q4 2023,Asia,21:52,10,-16.3,0.0,5,-16.3,1.36,False
dyn_sl_1.0,Q4 2023,London,03:19,3,-74.7,13.3,98,-129.7,0.83,False
dyn_sl_1.0,Q4 2023,NY,08:13,5,-55.6,24.5,102,-95.1,1.29,False
dyn_sl_1.0,Q1 2024,Asia,19:50,7,-73.6,0.0,22,-73.6,0.83,False
dyn_sl_1.0,Q1 2024,London,04:20,3,-72.2,12.6,95,-145.4,0.91,False
dyn_sl_1.0,Q1 2024,NY,09:26,10,38.7,36.4,66,-41.8,5.77,True
dyn_sl_1.0,Q2 2024,Asia,21:51,10,-64.9,4.8,21,-64.9,2.83,False
dyn_sl_1.0,Q2 2024,London,04:34,10,-13.1,17.1,140,-88.6,2.3,False
dyn_sl_1.0,Q2 2024,NY,09:18,5,76.2,37.7,106,-28.5,3.23,True
dyn_sl_1.0,Q3 2024,Asia,22:32,7,-50.5,0.0,14,-46.8,2.19,False
dyn_sl_1.0,Q3 2024,London,01:25,5,-71.2,14.8,135,-134.6,1.16,False
dyn_sl_1.0,Q3 2024,NY,08:15,3,-64.6,28.0,118,-122.0,1.59,False
dyn_sl_1.0,Q4 2024,Asia,22:46,5,-33.6,6.7,15,-37.7,1.76,False
dyn_sl_1.0,Q4 2024,London,04:31,3,-101.9,13.5,141,-113.3,1.54,False
dyn_sl_1.0,Q4 2024,NY,08:43,7,-25.4,29.5,122,-70.0,2.66,False
dyn_sl_1.0,Q1 2025,Asia,19:06,7,-108.9,6.4,47,-113.7,1.28,False
dyn_sl_1.0,Q1 2025,London,01:53,10,-13.0,17.6,148,-100.4,2.66,False
dyn_sl_1.0,Q1 2025,NY,09:07,7,-69.8,30.0,120,-83.5,3.07,False
dyn_sl_1.0,Q2 2025,Asia,22:19,10,29.2,30.4,23,-42.4,4.79,True
dyn_sl_1.0,Q2 2025,London,02:18,3,46.3,21.8,142,-96.9,3.28,True
dyn_sl_1.0,Q2 2025,NY,10:13,7,-43.3,40.7,108,-65.8,6.64,False
dyn_sl_1.0,Q3 2025,Asia,20:00,10,-190.7,7.9,63,-184.2,4.19,False
dyn_sl_1.0,Q3 2025,London,01:49,7,67.5,21.1,142,-56.2,2.71,True
dyn_sl_1.0,Q3 2025,NY,09:36,5,52.8,42.9,98,-37.1,4.53,True
dyn_sl_1.0,Q4 2025,Asia,22:41,10,75.5,53.3,15,-20.2,6.97,True
dyn_sl_1.0,Q4 2025,London,03:13,7,27.9,25.8,151,-141.0,5.12,True
dyn_sl_1.0,Q4 2025,NY,08:42,10,-13.0,45.9,111,-66.3,6.83,False
dyn_sl_1.0,Q1 2026,Asia,20:41,5,-142.8,34.4,90,-201.3,7.48,False
dyn_sl_1.0,Q1 2026,London,02:02,5,100.4,36.9,122,-124.7,8.61,True
dyn_sl_1.0,Q1 2026,NY,10:46,10,15.9,67.1,82,-119.1,19.21,True
dyn_sl_tp,Q3 2021,London,02:39,3,58.7,32.7,104,-37.8,0.76,True
dyn_sl_tp,Q3 2021,NY,08:41,10,-54.9,24.1,83,-80.8,3.2,False
dyn_sl_tp,Q4 2021,London,04:05,5,4.4,28.6,112,-53.0,1.2,True
dyn_sl_tp,Q4 2021,NY,08:22,3,-67.4,23.6,110,-143.0,1.13,False
dyn_sl_tp,Q1 2022,Asia,22:01,10,-2.2,25.0,8,-13.5,1.56,False
dyn_sl_tp,Q1 2022,London,04:38,3,23.5,29.5,112,-71.7,1.24,True
dyn_sl_tp,Q1 2022,NY,11:18,7,-37.2,25.4,71,-66.2,2.86,False
dyn_sl_tp,Q2 2022,Asia,20:35,10,-87.3,0.0,26,-87.3,1.32,False
dyn_sl_tp,Q2 2022,London,03:39,5,1.7,28.9,121,-62.1,1.55,True
dyn_sl_tp,Q2 2022,NY,08:31,10,21.3,29.3,99,-62.6,4.58,True
dyn_sl_tp,Q3 2022,Asia,19:12,5,-49.7,8.7,23,-52.4,0.47,False
dyn_sl_tp,Q3 2022,London,03:45,3,68.1,33.0,115,-41.7,0.97,True
dyn_sl_tp,Q3 2022,NY,08:47,3,63.0,35.0,80,-30.9,1.76,True
dyn_sl_tp,Q4 2022,Asia,22:30,7,-16.0,0.0,5,-16.0,1.1,False
dyn_sl_tp,Q4 2022,London,03:42,3,-16.0,26.4,106,-78.7,0.94,False
dyn_sl_tp,Q4 2022,NY,08:44,10,30.1,31.5,89,-70.4,2.52,True
dyn_sl_tp,Q1 2023,Asia,21:20,5,-24.4,0.0,7,-20.5,1.13,False
dyn_sl_tp,Q1 2023,London,01:29,7,-11.4,26.9,130,-79.4,1.28,False
dyn_sl_tp,Q1 2023,NY,08:21,3,-133.0,19.5,113,-142.0,1.16,False
dyn_sl_tp,Q2 2023,Asia,22:21,7,-23.1,0.0,7,-23.1,0.94,False
dyn_sl_tp,Q2 2023,London,04:28,3,82.5,34.3,105,-26.3,0.94,True
dyn_sl_tp,Q2 2023,NY,10:07,3,-8.1,28.1,64,-37.6,2.47,False
dyn_sl_tp,Q3 2023,Asia,20:23,10,-47.4,0.0,15,-47.4,0.77,False
dyn_sl_tp,Q3 2023,London,04:35,7,-66.4,22.5,102,-103.7,0.9,False
dyn_sl_tp,Q3 2023,NY,08:40,3,-53.0,23.1,78,-95.4,1.76,False
dyn_sl_tp,Q4 2023,Asia,19:18,10,-46.7,15.2,33,-51.9,0.96,False
dyn_sl_tp,Q4 2023,London,01:06,3,-1.5,27.9,111,-43.2,0.5,False
dyn_sl_tp,Q4 2023,NY,08:15,5,-141.0,18.9,111,-145.7,1.42,False
dyn_sl_tp,Q1 2024,Asia,19:07,5,-84.4,0.0,26,-84.4,0.69,False
dyn_sl_tp,Q1 2024,London,04:20,3,46.3,31.4,102,-64.3,0.91,True
dyn_sl_tp,Q1 2024,NY,10:03,3,13.9,30.5,82,-39.4,1.84,True
dyn_sl_tp,Q2 2024,Asia,21:17,5,-53.3,13.3,30,-53.3,2.07,False
dyn_sl_tp,Q2 2024,London,01:26,3,12.0,29.7,118,-55.7,0.89,True
dyn_sl_tp,Q2 2024,NY,08:37,10,40.1,32.5,123,-76.8,5.0,True
dyn_sl_tp,Q3 2024,Asia,22:30,5,-25.9,9.1,11,-27.3,1.92,False
dyn_sl_tp,Q3 2024,London,02:03,3,115.8,36.4,121,-54.0,1.47,True
dyn_sl_tp,Q3 2024,NY,08:15,3,-77.4,26.9,119,-122.4,1.59,False
dyn_sl_tp,Q4 2024,Asia,22:08,3,-59.9,12.9,31,-74.5,1.52,False
dyn_sl_tp,Q4 2024,London,02:47,7,28.8,30.0,130,-57.9,1.98,True
dyn_sl_tp,Q4 2024,NY,08:43,7,-4.0,29.5,122,-59.0,2.66,False
dyn_sl_tp,Q1 2025,Asia,19:06,7,6.3,28.8,59,-37.5,1.28,True
dyn_sl_tp,Q1 2025,London,02:45,10,1.5,29.3,133,-62.6,2.64,True
dyn_sl_tp,Q1 2025,NY,09:07,7,-33.3,30.6,121,-79.0,3.07,False
dyn_sl_tp,Q2 2025,Asia,19:32,7,31.4,33.0,97,-62.4,3.5,True
dyn_sl_tp,Q2 2025,London,03:58,7,-96.7,27.8,126,-145.0,4.61,False
dyn_sl_tp,Q2 2025,NY,10:11,10,25.6,31.9,116,-104.4,8.28,True
dyn_sl_tp,Q3 2025,Asia,20:00,5,-87.0,21.2,85,-89.6,3.14,False
dyn_sl_tp,Q3 2025,London,01:00,10,-9.6,28.5,137,-80.2,2.59,False
dyn_sl_tp,Q3 2025,NY,10:03,5,84.2,36.4,107,-61.7,4.76,True
dyn_sl_tp,Q4 2025,Asia,20:59,3,-87.0,27.6,87,-149.3,6.34,False
dyn_sl_tp,Q4 2025,London,03:25,3,-10.9,33.1,127,-91.1,3.33,False
dyn_sl_tp,Q4 2025,NY,08:38,3,167.9,40.7,123,-47.3,3.76,True
dyn_sl_tp,Q1 2026,Asia,20:34,10,-171.8,30.4,92,-187.4,11.57,False
dyn_sl_tp,Q1 2026,London,02:42,7,-88.8,30.9,136,-279.1,10.71,False
dyn_sl_tp,Q1 2026,NY,09:46,10,46.4,36.4,118,-257.3,15.96,True
