date,session,open,close,high,low,range_pts,body_pts,body_pct_range,avg_range_20d,state,open_time,close_time,bars
2023-03-16,London,1913.332,1919.047,1922.546,1912.227,10.31899999999996,5.714999999999918,0.554,8.516599999999983,TREND_UP,2023-03-16 01:00:00,2023-03-16 04:59:00,240
2023-03-16,NY,1926.946,1918.729,1933.48,1913.373,20.10699999999997,-8.21699999999987,-0.409,15.108799999999984,TREND_DOWN,2023-03-16 08:00:00,2023-03-16 11:59:00,240
2023-03-17,London,1930.989,1928.682,1934.353,1927.369,6.984000000000151,-2.3070000000000164,-0.33,8.506799999999988,TREND_DOWN,2023-03-17 01:00:00,2023-03-17 04:59:00,240
2023-03-17,NY,1935.086,1959.307,1964.93,1934.954,29.976000000000113,24.221000000000004,0.808,15.475549999999988,EXPANSION_UP,2023-03-17 08:00:00,2023-03-17 11:59:00,240
2023-03-20,Asia,1978.307,1983.348,1984.544,1975.317,9.22700000000009,5.04099999999994,0.546,7.0245999999999755,TREND_UP,2023-03-20 19:00:00,2023-03-20 22:59:00,240
2023-03-20,London,1974.867,1996.351,2009.743,1974.456,35.287000000000035,21.48400000000015,0.609,8.419799999999986,EXPANSION_UP,2023-03-20 01:00:00,2023-03-20 04:59:00,240
2023-03-20,NY,1983.85,1973.8,1986.598,1965.74,20.857999999999947,-10.049999999999955,-0.482,16.0606,TREND_DOWN,2023-03-20 08:00:00,2023-03-20 11:59:00,240
2023-03-21,Asia,1941.132,1939.51,1946.207,1938.938,7.2690000000000055,-1.622000000000071,-0.223,7.222999999999979,V_DOWN,2023-03-21 19:00:00,2023-03-21 22:59:00,240
2023-03-21,London,1981.442,1966.336,1983.212,1962.854,20.357999999999947,-15.105999999999995,-0.742,9.864649999999994,EXPANSION_DN,2023-03-21 01:00:00,2023-03-21 04:59:00,240
2023-03-21,NY,1966.323,1948.187,1967.105,1943.163,23.942000000000007,-18.136000000000195,-0.757,16.8707,TREND_DOWN,2023-03-21 08:00:00,2023-03-21 11:59:00,240
2023-03-22,Asia,1965.587,1975.296,1976.178,1965.587,10.591000000000122,9.70900000000006,0.917,7.181099999999981,TREND_UP,2023-03-22 19:00:00,2023-03-22 22:59:00,240
2023-03-22,London,1939.32,1941.886,1945.293,1934.169,11.123999999999796,2.566000000000031,0.231,10.450399999999991,TREND_UP,2023-03-22 01:00:00,2023-03-22 04:59:00,240
2023-03-22,NY,1942.452,1947.251,1951.925,1937.089,14.836000000000013,4.798999999999978,0.323,17.38795,TREND_UP,2023-03-22 08:00:00,2023-03-22 11:59:00,240
2023-03-23,Asia,1991.962,1991.74,1994.864,1989.751,5.113000000000056,-0.22199999999998,-0.043,7.3046999999999915,V_DOWN,2023-03-23 19:00:00,2023-03-23 22:59:00,240
2023-03-23,London,1977.785,1976.484,1983.656,1974.288,9.367999999999938,-1.3010000000001583,-0.139,10.59174999999998,V_DOWN,2023-03-23 01:00:00,2023-03-23 04:59:00,240
2023-03-23,NY,1978.444,1984.038,1987.07,1966.551,20.519000000000005,5.594000000000051,0.273,17.39715,V_UP,2023-03-23 08:00:00,2023-03-23 11:59:00,240
2023-03-24,London,1993.233,1985.458,1993.367,1981.258,12.108999999999924,-7.774999999999864,-0.642,10.702699999999982,TREND_DOWN,2023-03-24 01:00:00,2023-03-24 04:59:00,240
2023-03-24,NY,1995.785,1987.288,2003.026,1985.923,17.103000000000065,-8.497000000000071,-0.497,17.78309999999999,TREND_DOWN,2023-03-24 08:00:00,2023-03-24 11:59:00,240
2023-03-27,Asia,1957.284,1960.228,1963.992,1957.167,6.8250000000000455,2.94399999999996,0.431,7.017650000000003,TREND_UP,2023-03-27 19:00:00,2023-03-27 22:59:00,240
2023-03-27,London,1973.764,1968.353,1973.926,1965.913,8.01299999999992,-5.410999999999831,-0.675,10.979949999999974,TREND_DOWN,2023-03-27 01:00:00,2023-03-27 04:59:00,240
2023-03-27,NY,1954.191,1956.882,1958.733,1943.981,14.751999999999953,2.691000000000031,0.182,18.126300000000004,V_UP,2023-03-27 08:00:00,2023-03-27 11:59:00,240
2023-03-28,Asia,1973.028,1968.476,1973.695,1966.872,6.822999999999865,-4.551999999999907,-0.667,7.178300000000013,TREND_DOWN,2023-03-28 19:00:00,2023-03-28 22:59:00,240
2023-03-28,London,1957.744,1950.264,1960.847,1949.801,11.04600000000005,-7.480000000000018,-0.677,11.053949999999976,TREND_DOWN,2023-03-28 01:00:00,2023-03-28 04:59:00,240
