phase5_variant,quarter,session,session_model,train_time,train_dur,val_pnl,val_wr,val_trades,val_max_dd,avg_box_width,pass
b0_ny_no_pattern,Q1 2025,London,breakout_pullback,02:33,10,-18.0,28.3,120,-48.6,2.39,False
b0_ny_no_pattern,Q1 2025,NY,breakout_pullback,09:07,7,-33.3,30.6,121,-79.0,3.07,False
b0_ny_no_pattern,Q2 2025,Asia,mean_rev_fail,22:35,5,3.6,67.7,65,-26.2,4.27,True
b0_ny_no_pattern,Q2 2025,London,breakout_pullback,04:27,5,92.6,36.6,112,-74.6,3.49,True
b0_ny_no_pattern,Q2 2025,NY,breakout_pullback,10:11,10,25.6,31.9,116,-104.4,8.28,True
b0_ny_no_pattern,Q3 2025,Asia,mean_rev_fail,21:02,10,7.7,62.1,103,-21.0,4.88,True
b0_ny_no_pattern,Q3 2025,London,breakout_pullback,04:26,7,19.3,31.7,123,-93.3,2.78,True
b0_ny_no_pattern,Q3 2025,NY,breakout_pullback,10:03,5,84.2,36.4,107,-61.7,4.76,True
b0_ny_no_pattern,Q4 2025,Asia,mean_rev_fail,20:27,5,-1.0,71.6,116,-43.9,4.39,False
b0_ny_no_pattern,Q4 2025,London,breakout_pullback,04:21,10,-3.1,28.5,130,-112.2,6.35,False
b0_ny_no_pattern,Q4 2025,NY,breakout_pullback,08:38,3,167.9,40.7,123,-47.3,3.76,True
b0_ny_no_pattern,Q1 2026,Asia,mean_rev_fail,21:00,5,-87.4,51.1,90,-101.3,18.35,False
b0_ny_no_pattern,Q1 2026,London,breakout_pullback,01:59,10,47.6,36.3,124,-256.6,13.46,True
b0_ny_no_pattern,Q1 2026,NY,breakout_pullback,09:46,10,46.4,36.4,118,-257.3,15.96,True
