phase5_variant,quarter,session,session_model,train_time,train_dur,val_pnl,val_wr,val_trades,val_max_dd,avg_box_width,pass
phase5_sanity_any_pattern,Q3 2023,London,breakout_pullback,04:37,3,-91.4,19.3,88,-149.5,0.61,False
phase5_sanity_any_pattern,Q3 2023,NY,breakout_pullback,08:47,7,-48.4,22.0,59,-70.9,2.29,False
phase5_sanity_any_pattern,Q4 2023,Asia,breakout_pullback,20:32,10,-15.5,16.7,12,-20.0,1.43,False
phase5_sanity_any_pattern,Q4 2023,London,breakout_pullback,01:51,10,14.5,29.8,94,-33.1,1.32,True
phase5_sanity_any_pattern,Q4 2023,NY,breakout_pullback,08:51,3,-44.4,26.0,96,-56.9,1.07,False
phase5_sanity_any_pattern,Q1 2024,Asia,breakout_pullback,19:11,7,-71.8,0.0,22,-68.5,0.86,False
phase5_sanity_any_pattern,Q1 2024,London,breakout_pullback,04:37,3,-12.7,26.9,93,-86.6,0.84,False
phase5_sanity_any_pattern,Q1 2024,NY,breakout_pullback,09:19,3,-19.9,27.0,74,-46.5,1.7,False
phase5_sanity_any_pattern,Q2 2024,Asia,breakout_pullback,21:10,10,-91.8,3.6,28,-91.8,3.21,False
phase5_sanity_any_pattern,Q2 2024,London,breakout_pullback,02:37,3,139.8,41.1,95,-32.4,1.42,True
phase5_sanity_any_pattern,Q2 2024,NY,breakout_pullback,08:04,10,-14.3,30.7,114,-67.6,2.94,False
phase5_sanity_any_pattern,Q3 2024,Asia,breakout_pullback,22:31,3,-48.3,0.0,14,-44.5,1.49,False
phase5_sanity_any_pattern,Q3 2024,London,breakout_pullback,02:03,3,140.5,38.5,117,-27.6,1.47,True
phase5_sanity_any_pattern,Q3 2024,NY,breakout_pullback,09:32,3,-1.9,30.9,94,-64.0,3.04,False
phase5_sanity_any_pattern,Q4 2024,Asia,breakout_pullback,22:08,3,-43.1,13.6,22,-52.1,1.52,False
phase5_sanity_any_pattern,Q4 2024,London,breakout_pullback,02:00,5,73.8,34.2,111,-77.0,2.04,True
phase5_sanity_any_pattern,Q4 2024,NY,breakout_pullback,08:39,10,-0.9,30.8,107,-56.4,3.29,False
phase5_sanity_any_pattern,Q1 2025,Asia,breakout_pullback,20:05,10,-23.4,23.1,39,-50.4,2.09,False
phase5_sanity_any_pattern,Q1 2025,London,breakout_pullback,02:33,10,-18.0,28.3,120,-48.6,2.39,False
phase5_sanity_any_pattern,Q1 2025,NY,breakout_pullback,09:23,10,-46.1,29.0,100,-96.8,5.47,False
phase5_sanity_any_pattern,Q2 2025,Asia,breakout_pullback,19:36,3,-2.1,30.9,81,-70.4,2.11,False
phase5_sanity_any_pattern,Q2 2025,London,breakout_pullback,04:27,5,92.6,36.6,112,-74.6,3.49,True
phase5_sanity_any_pattern,Q2 2025,NY,breakout_pullback,10:10,10,-8.8,31.1,103,-78.2,8.05,False
phase5_sanity_any_pattern,Q3 2025,Asia,breakout_pullback,20:00,5,-88.1,20.3,74,-92.6,3.14,False
phase5_sanity_any_pattern,Q3 2025,London,breakout_pullback,04:26,7,19.3,31.7,123,-93.3,2.78,True
phase5_sanity_any_pattern,Q3 2025,NY,breakout_pullback,09:59,10,107.5,38.8,80,-48.2,7.21,True
